Correlation Matrix,Dom Eq,For Eq,Em Mkt,Private Eq,Ab Ret,HY,Comm,Nat Res,RE,Dom Bonds,For Bonds,IF Bonds,Cash,E[Portfolio Real Return],5.50%,,,,,,,,,,,,,
Private Eq,-0.000784208,0.000405935,-0.000347663,0.000837042,0.0007074,-0.000129904,8.59818E-05,0.000128972,0.000243706,0,-3.81194E-05,1.12846E-05,0,14%,,,,,,,,,,,,,,
Ab Ret,-0.000828436,0.00052779,-0.000489694,0.0007074,0.00166066,-0.00021347,8.07387E-05,0.000181661,0.000343268,1.21919E-05,-0.000107385,3.17893E-05,0,37%,,,,,,,,,,,,,,
HY,0.000152131,-9.69213E-05,8.99255E-05,-0.000129904,-0.00021347,5.6001E-05,-2.96531E-05,-3.33594E-05,-6.30363E-05,-1.11944E-06,1.97197E-05,-5.83766E-06,0,-5%,,,,,,,,,,,,,,
Comm,-0.000201387,0.000149685,-0.000158721,8.59818E-05,8.07387E-05,-2.96531E-05,0.000392539,8.83206E-05,0,2.96376E-06,-2.61044E-05,3.0911E-05,0,9%,,,,,,,,,,,,,,
Nat Res,-0.000151039,0.000144338,-0.00017856,0.000128972,0.000181661,-3.33594E-05,8.83206E-05,0.001987198,0.000187752,0,-5.87345E-05,0,0,45%,,,,,,,,,,,,,,
RE,-0.000570809,0.000363658,-0.000337409,0.000243706,0.000343268,-6.30363E-05,0,0.000187752,0.001773887,0,-0.000110985,3.28552E-05,0,28%,,,,,,,,,,,,,,
Dom Bonds,0,0,2.99596E-06,0,1.21919E-05,-1.11944E-06,2.96376E-06,0,0,2.23771E-06,-1.37966E-05,3.50077E-06,0,3%,,,,,,,,,,,,,,
For Bonds,0,-5.68817E-05,0,-3.81194E-05,-0.000107385,1.97197E-05,-2.61044E-05,-5.87345E-05,-0.000110985,-1.37966E-05,0.000173598,-2.56953E-05,0,-23%,,,,,,,,,,,,,,
IF Bonds,-1.9823E-05,8.4194E-06,0,1.12846E-05,3.17893E-05,-5.83766E-06,3.0911E-05,0,3.28552E-05,3.50077E-06,-2.56953E-05,1.52133E-05,0,8%,,,,,,,,,,,,,,
Cash,0,0,0,0,0,0,0,0,0,0,0,0,0,3%,,,,,,,,,,,,,,
Efficient Frontier:,,,,,,,,,,,,,,,,5.5% Target with Cash at 1%,,,,5.5% Target with Cash at 3%,,,,,,,,
Weights,Dom Eq,For Eq,Em Mkt,Private Eq,Ab Ret,HY,Comm,Nat Res,RE,Dom Bonds,For Bonds,IF Bonds,Min SD,E[real ret],,Sharpe,w risky,w risk-free(Cash),SD,Sharpe,w risky,w risk-free(Cash),SD,,,,,
,-33%,-8%,9%,-5%,0%,-3%,-6%,15%,-4%,12%,35%,87%,6.66%,1.00%,,0.586612226,99%,1%,0.076711664,0.585129595,97%,3%,0.07690604,,,,,
,20%,-14%,12%,-10%,0%,-5%,-8%,7%,-11%,9%,39%,60%,4.25%,2.00%,,,,,,,,,,,,,,
,7%,-4%,7%,-2%,6%,-3%,-4%,19%,1%,10%,19%,46%,4.12%,3.00%,,,,,,,,,,,,,,
,-4%,2%,0%,4%,18%,-4%,1%,29%,11%,7%,3%,32%,5.12%,4.00%,,,,,,,,,,,,,,
,-15%,9%,-7%,11%,30%,-5%,7%,39%,22%,5%,-13%,17%,6.74%,5.00%,,,,,,,,,,,,,,
,-26%,16%,-13%,17%,43%,-6%,12%,50%,33%,2%,-29%,2%,8.63%,6.00%,,,,,,,,,,,,,,
,-43%,28%,-19%,25%,54%,-8%,15%,60%,43%,1%,-58%,1%,10.68%,7.00%,,,,,,,,,,,,,,
,-61%,40%,-24%,34%,65%,-10%,19%,70%,54%,1%,-88%,1%,12.81%,8.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No short-selling:,0%,0%,0%,2%,16%,0%,1%,29%,11%,5%,6%,29%,5.14%,4.00%,,,,,,,,,,,,,,
Near policy portfolio:,1%,1%,1%,3%,22%,-4%,4%,19%,12%,14%,12%,15%,5.33%,4.00%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Case 1,We are fixing Cash to be 1 % of the portfolio and the rest to be 99%. The 1% cash will give use risk free rate return. Expected return = 5.5%,,,,,,,,,,,,
,,,,,,,,,,,,,,,Case 2,We are fixing Cash to be 3 % of the portfolio and the rest to be 97%. The 1% cash will give use risk free rate return. Expected return = 5.5%,,,,,,,,,,,,
Minimum,0.01,0.01,0.01,0.03,0.06,-0.08,-0.05,-0.01,-0.01,-0.06,-0.08,-0.05,,,,,,,,,,,,,,,,
Maximum,0.21,0.21,0.21,0.23,0.26,0.12,0.15,0.19,0.19,0.14,0.12,0.15,,,,Dom Eq,For Eq,Em Mkt,Private Eq,Ab Ret,HY,Comm,Nat Res,RE,Dom Bonds,For Bonds,IF Bonds,Cash
,,,,,,,,,,,,,,,Case 1 Weights,-21%,13%,-10%,14%,37%,-5%,9%,45%,28%,4%,-22%,9%,1%
,,,,,,,,,,,,,,,Case 2 Weights,-22%,13%,-11%,14%,37%,-5%,9%,45%,28%,3%,-23%,8%,3%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
